what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381362772117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363162773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363262512
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1381363267191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363274278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363279774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363285358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1381363294669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363294694
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1381363300166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363303730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381363347895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381363524962
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381363527489
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1381363527599
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1381363527612
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381363528509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1381363528624
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1381363549788
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1381363549795
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1381363549818
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1381363549821
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1381363549827
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1381363549830
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1381363549831
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1381363549850
